year,election_type,district,ward,ed_num,ed_label,shapefile_key,Julie Propis Penman,Marc A. Coppola,"Blank, Void & Scattering",TOTAL,Brian C. Davis,David A. Franczyk,Anthony Pendergrass,Patsy J. Bevelock Jr.,Richard A. Fontana,Ricky T. Donovan Sr.,Antoine M. Thompson,Dominic J. Bonifacio Jr.,Dominic J. Bonifacio Jr. Consevative,Joseph Golombek Jr.,Genevieve M. Kenyon,James D. Griffin,Mary M. Martino,Bonnie E. Russell
2003,general,ellicott,ELL,37,37th District ……………,Buffalo ELL 37,,,0,7,7.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,38,38th District ……………,Buffalo ELL 38,,,45,133,88.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,39,39th District ……………,Buffalo ELL 39,,,32,189,157.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,40,40th District ……………,Buffalo ELL 40,,,41,238,197.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,41,41st District ……………,Buffalo ELL 41,,,30,74,44.0,,,,,,,,,,,,,
2003,general,fillmore,FIL,1,1st District ……………,Buffalo FIL 1,,,3,32,,29.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,2,2nd District ……………,Buffalo FIL 2,,,18,60,,42.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,3,3rd District ……………,Buffalo FIL 3,,,21,57,,36.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,4,4th District ……………,Buffalo FIL 4,,,24,91,,62.0,5.0,,,,,,,,,,,
2003,general,fillmore,FIL,5,5th District ……………,Buffalo FIL 5,,,1,5,,4.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,6,6th District ……………,Buffalo FIL 6,,,28,100,,71.0,1.0,,,,,,,,,,,
2003,general,fillmore,FIL,7,7th District ……………,Buffalo FIL 7,,,13,98,,85.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,8,8th District ……………,Buffalo FIL 8,,,10,59,,48.0,1.0,,,,,,,,,,,
2003,general,fillmore,FIL,9,9th District ……………,Buffalo FIL 9,,,13,109,,96.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,10,10th District ……………,Buffalo FIL 10,,,16,64,,48.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,11,11th District ……………,Buffalo FIL 11,,,16,68,,52.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,12,12th District ……………,Buffalo FIL 12,,,16,115,,99.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,13,13th District ……………,Buffalo FIL 13,,,89,208,,111.0,8.0,,,,,,,,,,,
2003,general,fillmore,FIL,14,14th District ……………,Buffalo FIL 14,,,15,42,,27.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,15,15th District ……………,Buffalo FIL 15,,,1,2,,1.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,16,16th District ……………,Buffalo FIL 16,,,18,38,,20.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,17,17th District ……………,Buffalo FIL 17,,,22,197,,175.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,18,18th District ……………,Buffalo FIL 18,,,18,64,,46.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,19,19th District ……………,Buffalo FIL 19,,,24,91,,64.0,3.0,,,,,,,,,,,
2003,general,fillmore,FIL,20,20th District ……………,Buffalo FIL 20,,,37,66,,29.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,21,21st District ……………,Buffalo FIL 21,,,11,63,,52.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,22,22nd District ……………,Buffalo FIL 22,,,12,77,,65.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,23,23rd District ……………,Buffalo FIL 23,,,35,82,,47.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,24,24th District ……………,Buffalo FIL 24,,,58,433,,375.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,25,25th District ……………,Buffalo FIL 25,,,44,111,,66.0,1.0,,,,,,,,,,,
2003,general,fillmore,FIL,26,26th District ……………,Buffalo FIL 26,,,11,46,,34.0,1.0,,,,,,,,,,,
2003,general,fillmore,FIL,27,27th District ……………,Buffalo FIL 27,,,63,148,,85.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,28,28th District ……………,Buffalo FIL 28,,,1,2,,1.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,29,29th District ……………,Buffalo FIL 29,,,3,3,,0.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,30,30th District ……………,Buffalo FIL 30,,,0,6,,6.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,31,31st District ……………,Buffalo FIL 31,,,9,103,,94.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,32,32nd District ……………,Buffalo FIL 32,,,22,94,,66.0,6.0,,,,,,,,,,,
2003,general,fillmore,FIL,33,33rd District ……………,Buffalo FIL 33,,,1,14,,13.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,34,34th District ……………,Buffalo FIL 34,,,26,101,,75.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,35,35th District ……………,Buffalo FIL 35,,,48,143,,59.0,36.0,,,,,,,,,,,
2003,general,fillmore,FIL,36,36th District ……………,Buffalo FIL 36,,,0,1,,1.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,37,37th District ……………,Buffalo FIL 37,,,48,319,,271.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,38,38th District ……………,Buffalo FIL 38,,,47,122,,53.0,22.0,,,,,,,,,,,
2003,general,fillmore,FIL,39,39th District ……………,Buffalo FIL 39,,,50,111,,49.0,12.0,,,,,,,,,,,
2003,general,fillmore,FIL,40,40th District ……………,Buffalo FIL 40,,,32,118,,86.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,41,41st District ……………,Buffalo FIL 41,,,11,73,,62.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,42,42nd District ……………,Buffalo FIL 42,,,58,123,,63.0,2.0,,,,,,,,,,,
2003,general,fillmore,FIL,43,43rd District ……………,Buffalo FIL 43,,,43,107,,62.0,2.0,,,,,,,,,,,
2003,general,fillmore,FIL,44,44th District ……………,Buffalo FIL 44,,,35,243,,208.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,45,45th District ……………,Buffalo FIL 45,,,0,0,,0.0,0.0,,,,,,,,,,,
2003,general,fillmore,FIL,46,46th District ……………,Buffalo FIL 46,,,48,113,,65.0,0.0,,,,,,,,,,,
2003,general,lovejoy,LOV,1,1st District ……………,Buffalo LOV 1,,,5,42,,,,0.0,35.0,2.0,,,,,,,,
2003,general,lovejoy,LOV,2,2nd District ……………,Buffalo LOV 2,,,37,324,,,,42.0,232.0,13.0,,,,,,,,
2003,general,lovejoy,LOV,3,3rd District ……………,Buffalo LOV 3,,,29,295,,,,27.0,226.0,13.0,,,,,,,,
2003,general,lovejoy,LOV,4,4th District ……………,Buffalo LOV 4,,,29,126,,,,12.0,79.0,6.0,,,,,,,,
2003,general,lovejoy,LOV,5,5th District ……………,Buffalo LOV 5,,,9,137,,,,22.0,98.0,8.0,,,,,,,,
2003,general,lovejoy,LOV,6,6th District ……………,Buffalo LOV 6,,,18,262,,,,31.0,198.0,15.0,,,,,,,,
2003,general,lovejoy,LOV,7,7th District ……………,Buffalo LOV 7,,,16,249,,,,60.0,149.0,24.0,,,,,,,,
2003,general,lovejoy,LOV,8,8th District ……………,Buffalo LOV 8,,,25,331,,,,32.0,266.0,8.0,,,,,,,,
2003,general,lovejoy,LOV,9,9th District ……………,Buffalo LOV 9,,,17,151,,,,24.0,100.0,10.0,,,,,,,,
2003,general,lovejoy,LOV,10,10th District ……………,Buffalo LOV 10,,,20,97,,,,8.0,65.0,4.0,,,,,,,,
2003,general,lovejoy,LOV,11,11th District ……………,Buffalo LOV 11,,,12,153,,,,18.0,119.0,4.0,,,,,,,,
2003,general,lovejoy,LOV,12,12th District ……………,Buffalo LOV 12,,,44,307,,,,36.0,205.0,22.0,,,,,,,,
2003,general,lovejoy,LOV,13,13th District ……………,Buffalo LOV 13,,,8,169,,,,16.0,140.0,5.0,,,,,,,,
2003,general,lovejoy,LOV,14,14th District ……………,Buffalo LOV 14,,,40,159,,,,13.0,98.0,8.0,,,,,,,,
2003,general,lovejoy,LOV,15,15th District ……………,Buffalo LOV 15,,,31,328,,,,21.0,258.0,18.0,,,,,,,,
2003,general,lovejoy,LOV,16,16th District ……………,Buffalo LOV 16,,,26,114,,,,13.0,71.0,4.0,,,,,,,,
2003,general,lovejoy,LOV,17,17th District ……………,Buffalo LOV 17,,,55,164,,,,8.0,94.0,7.0,,,,,,,,
2003,general,lovejoy,LOV,18,18th District ……………,Buffalo LOV 18,,,24,144,,,,13.0,99.0,8.0,,,,,,,,
2003,general,lovejoy,LOV,19,19th District ……………,Buffalo LOV 19,,,25,169,,,,7.0,132.0,5.0,,,,,,,,
2003,general,lovejoy,LOV,20,20th District ……………,Buffalo LOV 20,,,28,100,,,,2.0,68.0,2.0,,,,,,,,
2003,general,lovejoy,LOV,21,21st District ……………,Buffalo LOV 21,,,33,129,,,,10.0,83.0,3.0,,,,,,,,
2003,general,lovejoy,LOV,22,22nd District ……………,Buffalo LOV 22,,,14,123,,,,16.0,85.0,8.0,,,,,,,,
2003,general,lovejoy,LOV,23,23rd District ……………,Buffalo LOV 23,,,64,220,,,,16.0,134.0,6.0,,,,,,,,
2003,general,lovejoy,LOV,24,24th District ……………,Buffalo LOV 24,,,40,174,,,,26.0,105.0,3.0,,,,,,,,
2003,general,lovejoy,LOV,25,25th District ……………,Buffalo LOV 25,,,16,183,,,,18.0,144.0,5.0,,,,,,,,
2003,general,lovejoy,LOV,26,26th District ……………,Buffalo LOV 26,,,20,69,,,,0.0,44.0,5.0,,,,,,,,
2003,general,lovejoy,LOV,27,27th District ……………,Buffalo LOV 27,,,52,263,,,,24.0,175.0,12.0,,,,,,,,
2003,general,lovejoy,LOV,28,28th District ……………,Buffalo LOV 28,,,26,281,,,,54.0,187.0,14.0,,,,,,,,
2003,general,lovejoy,LOV,29,29th District ……………,Buffalo LOV 29,,,25,156,,,,17.0,107.0,7.0,,,,,,,,
2003,general,lovejoy,LOV,30,30th District ……………,Buffalo LOV 30,,,21,93,,,,5.0,61.0,6.0,,,,,,,,
2003,general,lovejoy,LOV,31,31st District ……………,Buffalo LOV 31,,,17,123,,,,13.0,87.0,6.0,,,,,,,,
2003,general,masten,MAS,1,1st District ……………,Buffalo MAS 1,,,39,253,,,,,,,214.0,,,,,,,
2003,general,masten,MAS,2,2nd District ……………,Buffalo MAS 2,,,18,121,,,,,,,103.0,,,,,,,
2003,general,masten,MAS,3,3rd District ……………,Buffalo MAS 3,,,33,154,,,,,,,121.0,,,,,,,
2003,general,masten,MAS,4,4th District ……………,Buffalo MAS 4,,,36,158,,,,,,,122.0,,,,,,,
2003,general,masten,MAS,5,5th District ……………,Buffalo MAS 5,,,29,139,,,,,,,110.0,,,,,,,
2003,general,masten,MAS,6,6th District ……………,Buffalo MAS 6,,,19,95,,,,,,,76.0,,,,,,,
2003,general,masten,MAS,7,7th District ……………,Buffalo MAS 7,,,22,141,,,,,,,119.0,,,,,,,
2003,general,masten,MAS,8,8th District ……………,Buffalo MAS 8,,,19,121,,,,,,,102.0,,,,,,,
2003,general,masten,MAS,9,9th District ……………,Buffalo MAS 9,,,46,168,,,,,,,122.0,,,,,,,
2003,general,masten,MAS,10,10th District ……………,Buffalo MAS 10,,,37,146,,,,,,,109.0,,,,,,,
2003,general,masten,MAS,11,11th District ……………,Buffalo MAS 11,,,13,75,,,,,,,62.0,,,,,,,
2003,general,masten,MAS,12,12th District ……………,Buffalo MAS 12,,,28,100,,,,,,,72.0,,,,,,,
2003,general,masten,MAS,13,13th District ……………,Buffalo MAS 13,,,0,84,,,,,,,84.0,,,,,,,
2003,general,masten,MAS,14,14th District ……………,Buffalo MAS 14,,,40,181,,,,,,,141.0,,,,,,,
2003,general,masten,MAS,15,15th District ……………,Buffalo MAS 15,,,26,110,,,,,,,84.0,,,,,,,
2003,general,masten,MAS,16,16th District ……………,Buffalo MAS 16,,,30,177,,,,,,,147.0,,,,,,,
2003,general,masten,MAS,17,17th District ……………,Buffalo MAS 17,,,41,222,,,,,,,181.0,,,,,,,
2003,general,masten,MAS,18,18th District ……………,Buffalo MAS 18,,,28,190,,,,,,,162.0,,,,,,,
2003,general,masten,MAS,19,19th District ……………,Buffalo MAS 19,,,32,182,,,,,,,150.0,,,,,,,
2003,general,masten,MAS,20,20th District ……………,Buffalo MAS 20,,,35,195,,,,,,,160.0,,,,,,,
2003,general,masten,MAS,21,21st District ……………,Buffalo MAS 21,,,29,119,,,,,,,90.0,,,,,,,
2003,general,masten,MAS,22,22nd District ……………,Buffalo MAS 22,,,41,201,,,,,,,160.0,,,,,,,
2003,general,masten,MAS,23,23rd District ……………,Buffalo MAS 23,,,21,114,,,,,,,93.0,,,,,,,
2003,general,masten,MAS,24,24th District ……………,Buffalo MAS 24,,,25,118,,,,,,,93.0,,,,,,,
