year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel Feroleto,"Blank, Void, & Scattering",TOTAL,Darius G. Pridgen,Mitch Nowakowski,Raymond Brinson,Mohammed Jahangir Alam United Fillmore District,David P. Howard Choice,Sam Herbert,Bryan J. Bollman,Antionette T. Craig Lovejoy United 5,Ulysees O. Wingo,Veronica Golden,Nate Boyd,David A. Rivera,Mark T. Supples,Charley Tarr,Joseph Golombek Jr.,Christopher P. Scanlon,Rasheed N. Wyatt,Dorethea Franklin
2019,general,ellicott,ELL,32,Ell 032,Buffalo ELL 32,,8,60,52.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,33,Ell 033,Buffalo ELL 33,,25,103,78.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,34,Ell 034,Buffalo ELL 34,,11,54,43.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,35,Ell 035,Buffalo ELL 35,,34,142,108.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,36,Ell 036,Buffalo ELL 36,,19,54,35.0,,,,,,,,,,,,,,,,,
2019,general,fillmore,FIL,1,Fil 001,Buffalo FIL 1,,16,201,,161.0,12.0,11.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,2,Fil 002,Buffalo FIL 2,,5,160,,136.0,10.0,9.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,3,Fil 003,Buffalo FIL 3,,5,135,,107.0,12.0,9.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,4,Fil 004,Buffalo FIL 4,,5,75,,59.0,9.0,2.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,5,Fil 005,Buffalo FIL 5,,13,136,,100.0,14.0,7.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,6,Fil 006,Buffalo FIL 6,,1,49,,41.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,7,Fil 007,Buffalo FIL 7,,6,97,,78.0,8.0,2.0,3.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,8,Fil 008,Buffalo FIL 8,,20,275,,199.0,41.0,9.0,6.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,9,Fil 009,Buffalo FIL 9,,6,51,,25.0,14.0,6.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,10,Fil 010,Buffalo FIL 10,,20,173,,100.0,46.0,5.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,11,Fil 011,Buffalo FIL 11,,35,221,,99.0,58.0,26.0,3.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,12,Fil 012,Buffalo FIL 12,,0,11,,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,13,Fil 013,Buffalo FIL 13,,22,265,,190.0,49.0,3.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,14,Fil 014,Buffalo FIL 14,,18,151,,103.0,23.0,3.0,4.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,15,Fil 015,Buffalo FIL 15,,23,99,,62.0,10.0,3.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,16,Fil 016,Buffalo FIL 16,,5,27,,18.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,17,Fil 017,Buffalo FIL 17,,2,28,,20.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,18,Fil 018,Buffalo FIL 18,,14,140,,81.0,26.0,15.0,3.0,1.0,,,,,,,,,,,,
2019,general,fillmore,FIL,19,Fil 019,Buffalo FIL 19,,12,143,,66.0,43.0,3.0,19.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,20,Fil 020,Buffalo FIL 20,,12,134,,63.0,50.0,4.0,5.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,21,Fil 021,Buffalo FIL 21,,12,61,,32.0,5.0,10.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,22,Fil 022,Buffalo FIL 22,,5,28,,17.0,4.0,0.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,23,Fil 023,Buffalo FIL 23,,4,36,,19.0,5.0,5.0,3.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,24,Fil 024,Buffalo FIL 24,,6,62,,22.0,7.0,25.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,25,Fil 025,Buffalo FIL 25,,6,113,,42.0,18.0,47.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,26,Fil 026,Buffalo FIL 26,,9,91,,29.0,6.0,44.0,3.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,27,Fil 027,Buffalo FIL 27,,8,171,,40.0,8.0,114.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,28,Fil 028,Buffalo FIL 28,,7,87,,35.0,26.0,19.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,29,Fil 029,Buffalo FIL 29,,24,98,,46.0,4.0,19.0,3.0,2.0,,,,,,,,,,,,
2019,general,fillmore,FIL,30,Fil 030,Buffalo FIL 30,,23,125,,49.0,6.0,45.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,31,Fil 031,Buffalo FIL 31,,13,118,,20.0,10.0,75.0,0.0,0.0,,,,,,,,,,,,
