year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons,Beverly A. Gray,Anthony M. Masiello,"Blank, Void & Scattering",TOTAL,Judith Einach Write In,Steven A. Calvaneso,Byron W. Brown,Kevin P. Gaughan,Kevin J. Helfer,Charles J. Flynn,Judith S. Einach,Michael P. Kearns,Bernie Tolbert,Sergio R. Rodriguez,Anita L Howard,Terrence A Robinson,total,India B. Walton,Le'Candice M. Durham,Blank,Void,Scattering,Total,Byron Brown,Ben Carlisle,Jaz Miles,William O'Dell,"Blank, Void, and Scattering",Christopher P. Scanlon,Anthony J.P. Tyson-Thompson,Rasheed N.C. Wyatt,Garnell Whitfield Jr.,Sean M. Ryan,Michael Gainer,James R. Gardner,Michael Gainer Restore Buffalo,Kevin Gay,Charles A. Notaro
2017,primary,FIL,10,Fil 010,Buffalo FIL 10,37.0,72.0,32.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,11,Fil 011,Buffalo FIL 11,19.0,192.0,73.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,12,Fil 012,Buffalo FIL 12,174.0,40.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,14,Fil 014,Buffalo FIL 14,96.0,28.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,15,Fil 015,Buffalo FIL 15,52.0,74.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,17,Fil 017,Buffalo FIL 17,40.0,11.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,19,Fil 019,Buffalo FIL 19,48.0,23.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,20,Fil 020,Buffalo FIL 20,26.0,116.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,21,Fil 021,Buffalo FIL 21,18.0,39.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,23,Fil 023,Buffalo FIL 23,32.0,67.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,25,Fil 025,Buffalo FIL 25,28.0,46.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,29,Fil 029,Buffalo FIL 29,19.0,117.0,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,31,Fil 031,Buffalo FIL 31,6.0,35.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,32,Fil 032,Buffalo FIL 32,24.0,63.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,1,Lov 001,Buffalo LOV 1,22.0,102.0,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,4,Lov 004,Buffalo LOV 4,43.0,129.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,8,Lov 008,Buffalo LOV 8,36.0,90.0,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,11,Lov 011,Buffalo LOV 11,20.0,64.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,13,Lov 013,Buffalo LOV 13,37.0,147.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,15,Lov 015,Buffalo LOV 15,134.0,66.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,18,Lov 018,Buffalo LOV 18,102.0,41.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,22,Lov 022,Buffalo LOV 22,4.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,24,Lov 024,Buffalo LOV 24,126.0,54.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,25,Lov 025,Buffalo LOV 25,28.0,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,27,Lov 027,Buffalo LOV 27,169.0,58.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,LOV,29,Lov 029,Buffalo LOV 29,216.0,53.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,1,Mas 001,Buffalo MAS 1,29.0,200.0,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,4,Mas 004,Buffalo MAS 4,33.0,202.0,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,5,Mas 005,Buffalo MAS 5,23.0,152.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,8,Mas 008,Buffalo MAS 8,31.0,128.0,37.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,12,Mas 012,Buffalo MAS 12,37.0,231.0,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,13,Mas 013,Buffalo MAS 13,35.0,183.0,50.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,14,Mas 014,Buffalo MAS 14,30.0,272.0,53.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,MAS,16,Mas 016,Buffalo MAS 16,33.0,180.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
